"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Practice Automation Demo","0","Popups","3","0","Prompt Popup","0"
"0","Practice Automation Demo","0","Click Events","4","0","Кнопки животных","0"
"0","Practice Automation Demo","0","Form Fields","1","0","Позитивный сценарий","0"
"0","Practice Automation Demo","0","Popups","1","0","Alert Popup","0"
"0","Practice Automation Demo","0","Form Fields","1","0","Checkboxes","0"
"0","Practice Automation Demo","0","Form Fields","1","0","Select","0"
"0","Practice Automation Demo","0","Popups","2","0","Confirm Popup","0"
"0","Practice Automation Demo","0","Form Fields","1","0","Негативные сценарии","0"
"0","Practice Automation Demo","0","Form Fields","1","0","Radio buttons","0"
