"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"При клике на 'Prompt Popup' и нажатии Cancel в #promptResult должен появиться текст 'Fine, be that way...'","598","Prompt Popup — нажатие Отмена","tests","2025-09-28","passed","2025-09-28","","test_popups","",""
"
    Проверяет, что при клике на кнопку животного
    в поле <h2 id=""demo""> появляется правильный текст.
    ","250","Проверка кнопок: животное → звук","tests","2025-09-28","passed","2025-09-28","","test_click_events","",""
"Проверка, что при заполнении всех обязательных полей форма отправляется и появляется alert с сообщением.","1981","Заполнение всех полей формы и успешная отправка","tests","2025-09-28","passed","2025-09-28","","test_form_fields","",""
"При клике на кнопку 'Alert Popup' появляется JS-alert с текстом 'Hi there, pal!', который можно закрыть.","422","Проверка кнопки 'Alert Popup'","tests","2025-09-28","passed","2025-09-28","","test_popups","",""
"Проверка, что каждый чекбокс drink1...drink5 можно выбрать.","585","Выбор всех напитков","tests","2025-09-28","passed","2025-09-28","","test_form_fields","",""
"Проверка, что каждую опцию (Yes, No, Undecided) можно выбрать.","427","Выбор всех опций в селекте 'Do you like automation?'","tests","2025-09-28","passed","2025-09-28","","test_form_fields","",""
"При клике на кнопку 'Confirm Popup' появляется диалог с кнопками OK/Cancel. Если нажать Cancel — в блоке #confirmResult появляется текст 'Cancel it is!'","350","Confirm Popup — нажатие кнопки Нет","tests","2025-09-28","passed","2025-09-28","","test_popups","",""
"При клике на кнопку 'Confirm Popup' появляется диалог с кнопками OK/Cancel. Если нажать OK — в блоке #confirmResult появляется текст 'OK it is!'","447","Confirm Popup — нажатие кнопки Да","tests","2025-09-28","passed","2025-09-28","","test_popups","",""
"При клике на 'Prompt Popup', вводе текста и подтверждении в #promptResult должен появиться текст 'Nice to meet you, <введённый текст>!'","335","Prompt Popup — ввод текста и нажатие Продолжить","tests","2025-09-28","passed","2025-09-28","","test_popups","",""
"Проверка, что при пустом поле Name alert не появляется, а страница скроллит к Name.","6922","Отправка формы без заполненного поля Name","tests","2025-09-28","passed","2025-09-28","","test_form_fields","",""
"При клике на 'Prompt Popup' и подтверждении без текста в #promptResult должен появиться текст 'Fine, be that way...'","344","Prompt Popup — нажатие Продолжить без ввода текста","tests","2025-09-28","passed","2025-09-28","","test_popups","",""
"Проверка, что каждая радиокнопка цвета (color1...color5) может быть выбрана.","526","Выбор всех цветов","tests","2025-09-28","passed","2025-09-28","","test_form_fields","",""
"
    Проверяет, что при клике на кнопку животного
    в поле <h2 id=""demo""> появляется правильный текст.
    ","2735","Проверка кнопок: животное → звук","tests","2025-09-28","passed","2025-09-28","","test_click_events","",""
"
    Проверяет, что при клике на кнопку животного
    в поле <h2 id=""demo""> появляется правильный текст.
    ","214","Проверка кнопок: животное → звук","tests","2025-09-28","passed","2025-09-28","","test_click_events","",""
"
    Проверяет, что при клике на кнопку животного
    в поле <h2 id=""demo""> появляется правильный текст.
    ","247","Проверка кнопок: животное → звук","tests","2025-09-28","passed","2025-09-28","","test_click_events","",""
